drug_id,drug_name,approval_status,drug_type
DB02038,"D-[3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl]-N,O-cycloserylamide",experimental,small molecule
DB02039,S-Acetyl-Cysteine,experimental,small molecule
DB02059,Adenosine-5-Diphosphoribose,experimental,small molecule
DB02066,N7-Methyl-Formycin A,experimental,small molecule
DB02076,6-phospho-D-gluconic acid,experimental,small molecule
DB02080,"1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene",experimental,small molecule
DB02094,N-2-Thiophen-2-Yl-Acetamide Boronic Acid,experimental,small molecule
DB02109,Hadacidin,experimental,small molecule
DB02113,6-Methylpurine,experimental,small molecule
DB02119,"6-Hydroxymethyl-7,8-Dihydropterin",experimental,small molecule
DB02129,Dihydroorotic Acid,experimental,small molecule
DB02130,Vanillic acid,experimental,small molecule
DB02134,Xanthine,experimental,small molecule
DB02135,"1-deoxy-1-{2,6,8-trioxo-7-[4-(phosphonooxy)butyl]-1,2,3,6,7,8-hexahydro-9H-purin-9-yl}-D-arabinitol",experimental,small molecule
DB02142,Pyridoxamine-5'-Phosphate,experimental,small molecule
DB02151,Methionine Phosphonate,experimental,small molecule
DB02153,3-sulfino-L-alanine,experimental,small molecule
DB02158,"(2S,3S,4R,5S)-2-(4-Amino-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-5-[(methylsulfanyl)methyl]-3,4-pyrrolidinediol",experimental,small molecule
DB02175,Malonic acid,experimental,small molecule
DB02178,Phenylacetaldehyde,experimental,small molecule
DB02184,"D-1,4-dithiothreitol",experimental,small molecule
DB02190,(S)-oxalosuccinic acid,experimental,small molecule
DB02196,Uridine-Diphosphate-N-Acetylgalactosamine,experimental,small molecule
DB02209,Pyridoxine phosphate,experimental,small molecule
DB02213,Metanitrophenyl-Alpha-D-Galactoside,experimental,small molecule
DB02223,LY231514 tetra glu,experimental,small molecule
DB02228,2-deoxy-2-fluoro-β-D-galactose,experimental,small molecule
DB02229,5'-O-[(L-methionyl)-sulphamoyl]adenosine,experimental,small molecule
DB02236,Glycinamide Ribonucleotide,experimental,small molecule
DB02247,Hydrolyzed Cephalothin,experimental,small molecule
DB02251,O-Succinylbenzoate,experimental,small molecule
DB02256,2'-Deoxyuridine,experimental,small molecule
DB02260,4-Oxosebacic Acid,experimental,small molecule
DB02262,Orotic acid,investigational,small molecule
DB02263,D-glyceraldehyde 3-phosphate,experimental,small molecule
DB02270,Dimethylallyl S-Thiolodiphosphate,experimental,small molecule
DB02274,7-Keto-8-Aminopelargonic Acid,experimental,small molecule
DB02281,Formycin,experimental,small molecule
DB02290,"Xanthylpropyl Phosphate",experimental,small molecule
DB02294,"(5R,6S,7S,8S)-5-hydroxymethyl-6,7,8-trihydroxy-tetrazolo[1,5-A]piperidine",experimental,small molecule
DB02301,"5,10-Methylene-6-Hydrofolic Acid",experimental,small molecule
DB02314,Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate,experimental,small molecule
DB02316,"1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid",experimental,small molecule
DB02319,"5,6-dihydroxy-NADP",experimental,small molecule
DB02333,Deoxyuridine-5'-Triphosphate,experimental,small molecule
DB02345,Selenocysteine,experimental,small molecule
DB02363,2'-Monophosphoadenosine-5'-Diphosphate,experimental,small molecule
DB02377,Guanine,experimental,small molecule
DB02379,Beta-D-Glucose,experimental,small molecule
DB02382,Namn,experimental,small molecule
DB02384,(E)-2-Fluoro-P-Hydroxycinnamate,experimental,small molecule
DB02399,L-Rhamnitol,experimental,small molecule
DB02421,Uridine-5'-diphosphate-mannose,experimental,small molecule
DB02431,Cytidine-5'-Triphosphate,experimental,small molecule
DB02433,"{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid",experimental,small molecule
DB02435,Aminomethylcyclohexane,experimental,small molecule
DB02437,(5r)-5-Amino-6-Hydroxyhexylcarbamic Acid,experimental,small molecule
DB02445,2-Deoxy-2-Amino Glucitol-6-Phosphate,experimental,small molecule
DB02446,Glutamine hydroxamate,experimental,small molecule
DB02452,Thymidine 5'-triphosphate,experimental,small molecule
DB02456,Aracytidine 5'-monophosphate,experimental,small molecule
DB02461,S-Methyl Phosphocysteine,experimental,small molecule
DB02467,L-methionine (S)-S-oxide,experimental,small molecule
DB02474,BMSC-0013,experimental,small molecule
DB02480,(S)-4-bromo-3-hydroxy-3-methylbutyl diphosphate,experimental,small molecule
DB02493,Hydantocidin-5'-phosphate,experimental,small molecule
DB02496,1-Deoxy-D-xylulose 5-phosphate,experimental,small molecule
DB02501,N(2)-succinyl-L-arginine,experimental,small molecule
DB02503,4-(Carboxyvin-2-Yl)Phenylboronic Acid,experimental,small molecule
DB02508,Isopentyl Pyrophosphate,experimental,small molecule
DB02515,sn-glycerol 3-phosphate,experimental,small molecule
DB02527,Cyclic adenosine monophosphate,experimental,small molecule
DB02540,"10-formyl-5,8,10-trideazafolic acid",experimental,small molecule
DB02552,Geranyl Diphosphate,experimental,small molecule
DB02572,"1,3-bis-([3-[3-[3-(4-{3-[3-nitro-5-(galactopyranosyloxy)-benzoylamino]-propyl}-piperazin-1-yl)-propylamino-3,4-dioxo-cyclobutenyl]-amino-propoxy-ethoxy-ethoxy]-propyl-]amino-carbonyloxy)-2-amino-propane",experimental,small molecule
DB02574,BV2,experimental,biotech
DB02588,"(2R)-2-[(1R)-1-{[(2S)-2-Carboxy-2-(4-hydroxyphenyl)acetyl]amino}-1-methoxy-2-oxoethyl]-5-methylene-5,6-dihydro-2H-1,3-oxazine-4-carboxylic acid",experimental,small molecule
DB02596,"alpha,beta-Methyleneadenosine 5'-triphosphate",experimental,small molecule
DB02609,4-Hydroxy-L-Threonine-5-Monophosphate,experimental,small molecule
DB02627,"4,4'-Biphenyldiboronic Acid",experimental,small molecule
DB02630,L-xylitol 5-phosphate,experimental,small molecule
DB02632,4-nitrophenyl-beta-D-galactoside,experimental,small molecule
DB02657,Glucosamine 6-Phosphate,experimental,small molecule
DB02666,(C8-R)-hydantocidin 5'-phosphate,experimental,small molecule
DB02681,"2,8-bis[oxido(oxo)vanadio]-1,1,1,3,5,5,7,7,9,9,9-undecaoxopentavanadoxane-2,8-diium",experimental,small molecule
DB02693,"(4S,5S)-1,2-dithiane-4,5-diol",experimental,small molecule
DB02694,Pantoyl Adenylate,experimental,small molecule
DB02711,"4-{2,6,8-Trioxo-9-[(2S,3R,4R)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Butyl Dihydrogen Phosphate",experimental,small molecule
DB02724,Delta-2-Albomycin A1,experimental,small molecule
DB02725,"2-Amino-4-(4-Amino-Cyclohexa-2,5-Dienyl)-Butyric Acid",experimental,small molecule
DB02726,2-Phosphoglycolic Acid,experimental,small molecule
DB02746,Phthalic Acid,experimental,small molecule
DB02749,Pyromellitic Acid,experimental,small molecule
DB02752,Tosyl-D-Proline,experimental,small molecule
DB02758,Indolepropionic acid,experimental,small molecule
DB02761,S-Mercaptocysteine,experimental,small molecule
DB02772,Sucrose,approved,small molecule
DB02783,4'-Deoxy-4'-Acetylyamino-Pyridoxal-5'-Phosphate,experimental,small molecule
DB02790,Phenyl-uridine-5'-diphosphate,experimental,small molecule
DB02794,"(2S)-2-({4-[(2S)-1-(2-Amino-4-oxo-1,4-dihydro-6-quinazolinyl)-3-{[2-({(2R,3R,4S,5R)-3,4-dihydroxy-5-[(phosphonooxy)methyl]tetrahydro-2-furanyl}amino)-2-oxoethyl]amino}-2-hydroxy-2-propanyl]benzoyl}ami no)pentanedioic acid",experimental,small molecule
DB02797,3-Nitrophenylboronic Acid,experimental,small molecule
DB02799,N-[2-(1-maleimidyl)ethyl]-7-diethylaminocoumarin-3-carboxamide,experimental,small molecule
DB02801,"2,3-Anhydro-quinic acid",experimental,small molecule
DB02802,3-(alpha-D-Galactopyranosyloxy)-5-nitrobenzamide,experimental,small molecule
DB02811,Diethyl phosphonate,experimental,small molecule
DB02823,Phosphonoacetic Acid,experimental,small molecule
DB02824,N-Pyridoxyl-Glycine-5-Monophosphate,experimental,small molecule
DB02831,Dihydrogenphosphate,experimental,small molecule
DB02832,Siroheme,experimental,small molecule
DB02836,Guanosine 5'-diphosphate 2':3'-cyclic monophosphate,experimental,small molecule
DB02843,alpha-D-glucose-1-phosphate,experimental,small molecule
DB02854,Aetiocholanolone,experimental,small molecule
DB02858,Thiophenesulfonylboronic Acid,experimental,small molecule
DB02883,"2',3'-Dideoxycytidine-5'-Monophosphate",experimental,small molecule
DB02890,6-hydroxyuridine-5'-phosphate,experimental,small molecule
DB02896,Methylthioinosine,experimental,small molecule
DB02897,Acetylphosphate,experimental,small molecule
DB02899,N-Carboxymethionine,experimental,small molecule
DB02903,"1,3-bis-([[3-(4-{3-[3-nitro-5-(galactopyranosyloxy)-benzoylamino]-propyl}-piperazin-1-yl)-propylamino-3,4-dioxo-cyclobutenyl]-amino-ethyl]-amino-carbonyloxy)-2-amino-propane",experimental,small molecule
DB02927,"Mixed Carbamic Phosphoric Acid Anhydride of 7,8-Diaminononanic Acid",experimental,small molecule
DB02928,3-Amino-6-Hydroxy-Tyrosine,experimental,small molecule
DB02930,Adenosine 5'-[gamma-thio]triphosphate,experimental,small molecule
DB02933,5'-Deoxy-5'-(Methylthio)-Tubercidin,experimental,small molecule
DB02934,9-(6-deoxy-alpha-L-talofuranosyl)-6-methylpurine,experimental,small molecule
DB02937,"Gamma-Arsono-Beta, Gamma-Methyleneadenosine-5'-Diphosphate",experimental,small molecule
DB02941,3-(1-Aminoethyl)Nonanedioic Acid,experimental,small molecule
DB02947,2-Fluoro-2'-Deoxyadenosine,experimental,small molecule
DB02948,Fosmidomycin,investigational,small molecule
DB02951,3-Hydroxypyruvic Acid,experimental,small molecule
DB02954,(Carboxyhydroxyamino)Ethanoic Acid,experimental,small molecule
DB02961,Rhamnose,experimental,small molecule
DB02965,Ndelta-(N'-Sulphodiaminophosphinyl)-L-Ornithine,experimental,small molecule
DB02981,Vitamin B6 Complexed with 2-Amino-Hexanoic Acid,experimental,small molecule
DB02990,S-(2-Acetamidoethyl) hexadecanethioate,experimental,small molecule
DB02995,Cyclohexylammonium Ion,experimental,small molecule
DB03003,Glutathione sulfonic acid,experimental,small molecule
DB03017,Lauric acid,approved,small molecule
DB03022,"3-[2,6,8-Trioxo-9-[(2R,3S,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate",experimental,small molecule
DB03026,Phosphoglycolohydroxamic Acid,experimental,small molecule
DB03030,4-(2-Thienyl)-1-(4-Methylbenzyl)-1h-Imidazole,experimental,small molecule
DB03038,LY341770,experimental,small molecule
DB03049,S-Selanyl Cysteine,experimental,small molecule
DB03051,(S)-2-Tetrahydrofuroic acid,experimental,small molecule
DB03059,Acetoacetyl-CoA,experimental,small molecule
DB03068,Zebularine,experimental,small molecule
DB03075,(Diphosphono)Aminophosphonic Acid,experimental,small molecule
DB03077,"3-Amino-4-{3-[2-(2-Propoxy-Ethoxy)-Ethoxy]-Propylamino}-Cyclobut-3-Ene-1,2-Dione",experimental,small molecule
DB03091,Isoglutamine,experimental,small molecule
DB03101,Ribose-1-Phosphate,experimental,small molecule
DB03107,beta-Alanine,experimental,small molecule
DB03108,4-phospho-D-erythronic acid,experimental,small molecule
DB03113,3-Fluoro-2-(Phosphonooxy)Propanoic Acid,experimental,small molecule
DB03116,5-(1-Carboxy-1-Phosphonooxy-Ethoxyl)-Shikimate-3-Phosphate,experimental,small molecule
DB03117,2-carboxypropyl-coenzyme A,experimental,small molecule
DB03140,4-Carboxyphenylboronic Acid,experimental,small molecule
DB03142,Alpha-L-Arabinose,experimental,small molecule
DB03146,2-deazo-6-thiophosphate guanosine-5'-monophosphate,experimental,small molecule
DB03147,Flavin adenine dinucleotide,approved,small molecule
DB03148,Adenosine 5'-methylenediphosphate,experimental,small molecule
DB03157,"N,O-didansyl-L-tyrosine",experimental,small molecule
DB03160,N-Pyridoxyl-7-Keto-8-Aminopelargonic Acid-5'-Monophosphate,experimental,small molecule
DB03165,2-Dimethylamino-Ethyl-Diphosphate,experimental,small molecule
DB03170,Dephospho Coenzyme A,experimental,small molecule
DB03172,Tubercidin,experimental,small molecule
DB03197,6-Hydroxymethylpterin,experimental,small molecule
DB03212,4-Deoxyglucarate,experimental,small molecule
DB03228,"5-[Bis-2(Chloro-Ethyl)-Amino]-2,4-Dintro-Benzamide",experimental,small molecule
DB03235,N-{3-[4-(3-aminopropyl)piperazin-1-yl]propyl}-3-(alpha-D-galactopyranosyloxy)-5-nitrobenzamide,experimental,small molecule
DB03237,"2,3-Dihydroxy-5-Oxo-Hexanedioate",experimental,small molecule
DB03246,Beta-L-Arabinose,experimental,small molecule
DB03247,Flavin mononucleotide,approved,small molecule
DB03252,D-Lysine,experimental,small molecule
DB03256,(6R)-Folinic acid,experimental,small molecule
DB03258,2'-Deoxycytidine 5'-triphosphate,experimental,small molecule
DB03264,Dodecyl-Coa,experimental,small molecule
DB03274,"2',5'-Dideoxyuridine",experimental,small molecule
DB03278,D-Treitol,experimental,small molecule
DB03280,p1-(5'-adenosyl)p5-(5'-thymidyl)pentaphosphate,experimental,small molecule
DB03313,Cephalosporin C,experimental,small molecule
DB03317,Ferroheme C,experimental,small molecule
DB03323,Maltose,investigational,small molecule
DB03325,Tyrosyladenylate,experimental,small molecule
DB03345,Mercaptoethanol,experimental,small molecule
DB03350,Cobalt hexammine ion,experimental,small molecule
DB03355,5'-O-(L-Threonylsulfamoyl)adenosine,experimental,small molecule
DB03363,3-Acetylpyridine Adenine Dinucleotide,experimental,small molecule
DB03366,Imidazole,investigational,small molecule
DB03374,"3,5-Diiodotyrosine",experimental,small molecule
DB03382,S-oxy-L-cysteine,experimental,small molecule
DB03397,Uridine-Diphosphate-N-Acetylglucosamine,experimental,small molecule
DB03403,Cytidine-5'-Monophosphate,experimental,small molecule
DB03411,"2-Hydroxymethyl-Pyrrolidine-3,4-Diol",experimental,small molecule
DB03413,Deoxyuridine-5'-Diphosphate,experimental,small molecule
DB03434,3-(N-morpholino)propanesulfonic acid,experimental,small molecule
DB03435,Uridine-5'-Diphosphate,experimental,small molecule
DB03436,Gallichrome,experimental,small molecule
DB03437,"(2R,4S)-2-[(1R)-1-{[(2Z)-2-(2-Amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",experimental,small molecule
DB03452,3-Trimethylsilylsuccinic Acid,experimental,small molecule
DB03459,Sparfosic acid,experimental,small molecule
DB03461,Nicotinamide adenine dinucleotide phosphate,experimental,small molecule
DB03462,Thymine,experimental,small molecule
DB03464,Formycin-5'-Monophosphate,experimental,small molecule
DB03485,alpha-D-Fucopyranose,experimental,small molecule
DB03487,(S)-Aspartimide,experimental,small molecule
DB03488,Uridine-5'-diphosphate-2-deoxy-2-fluoro-alpha-D-galactose,experimental,small molecule
DB03498,Mercaptomethyl Phosphonate,experimental,small molecule
DB03499,D-Malic acid,experimental,small molecule
DB03524,"N-[3-[4-(3-aminopropyl)piperazin-1-yl]propyl]-3-[(2-thiophen-2-ylacetyl)amino]-5-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzamide",experimental,small molecule
DB03528,9-Beta-D-Xylofuranosyl-Adenine,experimental,small molecule
DB03530,Acylated ceftazidime,experimental,small molecule
DB03534,3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide,experimental,small molecule
DB03541,"10-Propargyl-5,8-Dideazafolic Acid",experimental,small molecule
DB03543,1-(O-Carboxy-Phenylamino)-1-Deoxy-D-Ribulose-5-Phosphate,experimental,small molecule
DB03544,S-Phosphocysteine,experimental,small molecule
DB03551,"(3R,4R)-3-Hydroxy-4-(hydroxymethyl)-1-[(4-oxo-4,4a,5,7a-tetrahydro-3H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]pyrrolidinium",experimental,small molecule
DB03553,Glutaric Acid,experimental,small molecule
DB03556,"2-(2-{2-[2-(2-{2-[2-(2-Ethoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol, Polyethyleneglycol Peg400",experimental,small molecule
DB03558,SP-876,experimental,small molecule
DB03566,Spermidine,experimental,small molecule
DB03581,Glucose-6-Phosphate,experimental,small molecule
DB03582,N~2~-Succinylornithine,experimental,small molecule
DB03584,4-Thio-beta-D-glucopyranose,experimental,small molecule
DB03590,"2,6-Diaminopimelic Acid",experimental,small molecule
DB03592,Pterin-6-Yl-Methyl-Monophosphate,experimental,small molecule
DB03600,Capric acid,experimental,small molecule
DB03603,Glucaric acid,experimental,small molecule
DB03615,Ribostamycin,approved,small molecule
DB03619,Deoxycholic acid,approved,small molecule
DB03624,7-(Carboxyamino)-8-Amino-Nonanoic Acid,experimental,small molecule
DB03629,Pyridoxal-5'-Phosphate-N-Oxide,experimental,small molecule
DB03631,"3-(4-hydroxy-3-imino-6-oxo-cyclohexa-1,4-dienyl)-alanine",experimental,small molecule
DB03649,"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate",experimental,small molecule
DB03658,"(2R,4S)-2-[(1R)-1-{[(2R)-2-Amino-2-(4-hydroxyphenyl)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",experimental,small molecule
DB03661,L-cysteic acid,experimental,small molecule
DB03662,Vitamin B6 Complexed with 2-Amino-Pentanoic Acid,experimental,small molecule
DB03666,Zidovudine monophosphate,experimental,small molecule
DB03668,6-oxouridine 5'-phosphate,experimental,small molecule
DB03685,Uridine monophosphate,experimental,small molecule
DB03687,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol,experimental,small molecule
DB03688,Hydracrylic acid,experimental,small molecule
DB03692,1-Hexadecanosulfonyl-O-L-Serine,experimental,small molecule
DB03705,6-Methylamino-5-Nitroisocytosine,experimental,small molecule
DB03709,Bicine,experimental,small molecule
DB03721,N-acetyl-alpha-neuraminic acid,experimental,small molecule
DB03734,Xylarohydroxamate,experimental,small molecule
DB03735,9-(2-Deoxy-Beta-D-Ribofuranosyl)-6-Methylpurine,experimental,small molecule
DB03739,3-Hydroxyimino Quinic Acid,experimental,small molecule
DB03746,"3-Amino-4,5-Dihydroxy-Cyclohex-1-Enecarboxylate",experimental,small molecule
DB03750,Isovaleric Acid,experimental,small molecule
DB03761,5-fluoro-2'-deoxyuridine-5'-monophosphate,experimental,small molecule
DB03775,Dethiobiotin,experimental,small molecule
DB03795,2-Dehydropantoate,experimental,small molecule
DB03799,Trifluoromethionine,experimental,small molecule
DB03800,Deoxyuridine monophosphate,experimental,small molecule
DB03801,Lysine Nz-Carboxylic Acid,experimental,small molecule
DB03811,Histidinol,experimental,small molecule
DB03812,"3-{2,6,8-trioxo-9-[(2S,3R,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate",experimental,small molecule
DB03813,2-Decenoyl N-acetyl cysteamine,experimental,small molecule
DB03814,2-(N-morpholino)ethanesulfonic acid,experimental,small molecule
DB03815,Fucitol,experimental,small molecule
DB03816,Difluoromethionine,experimental,small molecule
DB03818,N-[Tosyl-D-Prolinyl]Amino-Ethanethiol,experimental,small molecule
DB03825,Rhodamine 6G,experimental,small molecule
DB03830,Phosphorylated Dihydropteroate,experimental,small molecule
DB03846,2'-deoxy-5-(hydroxymethyl)uridine 5'-(dihydrogen phosphate),experimental,small molecule
DB03854,Cadaverine,experimental,small molecule
DB03855,L-Threonohydroxamate 4-Phosphate,experimental,small molecule
DB03869,5'-O-(L-Serylsulfamoyl)adenosine,experimental,small molecule
DB03909,"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",experimental,small molecule
DB03912,D-pantetheine 4'-phosphate,experimental,small molecule
DB03915,2-Amino-3-Ketobutyric Acid,experimental,small molecule
DB03936,1-Deoxy-Ribofuranose-5'-Phosphate,experimental,small molecule
DB03939,"(4S)-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone",experimental,small molecule
DB03940,Oxamic Acid,experimental,small molecule
DB03942,Carboxylic PRPP,experimental,small molecule
DB03951,N-acetyl-D-glucosamine-6-phosphate,experimental,small molecule
DB03952,9-(6-deoxy-beta-D-allofuranosyl)-6-methylpurine,experimental,small molecule
