disease_name,kegg_drug_id
Pathogenic Escherichia coli infection,D01092
Pathogenic Escherichia coli infection,D01429
Pathogenic Escherichia coli infection,D01480
Pathogenic Escherichia coli infection,D01620
Pathogenic Escherichia coli infection,D01664
Pathogenic Escherichia coli infection,D01775
Pathogenic Escherichia coli infection,D01980
Pathogenic Escherichia coli infection,D02169
Pathogenic Escherichia coli infection,D02555
Pathogenic Escherichia coli infection,D02556
Pathogenic Escherichia coli infection,D02557
Pathogenic Escherichia coli infection,D02582
Pathogenic Escherichia coli infection,D02583
Pathogenic Escherichia coli infection,D02584
Pathogenic Escherichia coli infection,D02585
Pathogenic Escherichia coli infection,D02586
Pathogenic Escherichia coli infection,D03023
Pathogenic Escherichia coli infection,D03025
Pathogenic Escherichia coli infection,D03526
Pathogenic Escherichia coli infection,D03883
Pathogenic Escherichia coli infection,D03936
Pathogenic Escherichia coli infection,D03997
Pathogenic Escherichia coli infection,D04624
Pathogenic Escherichia coli infection,D05268
Pathogenic Escherichia coli infection,D05367
Pathogenic Escherichia coli infection,D05800
Pathogenic Escherichia coli infection,D06373
Pathogenic Escherichia coli infection,D06630
Pathogenic Escherichia coli infection,D06883
Pathogenic Escherichia coli infection,D07193
Pathogenic Escherichia coli infection,D07598
Pathogenic Escherichia coli infection,D07676
Pathogenic Escherichia coli infection,D07752
Pathogenic Escherichia coli infection,D07882
Pathogenic Escherichia coli infection,D07884
Pathogenic Escherichia coli infection,D08296
Pathogenic Escherichia coli infection,D08313
Pathogenic Escherichia coli infection,D08510
Pathogenic Escherichia coli infection,D08535
Pathogenic Escherichia coli infection,D09702
Pathogenic Escherichia coli infection,D10021
Pathogenic Escherichia coli infection,D10643
Pathogenic Escherichia coli infection,D10644
Pathogenic Escherichia coli infection,D10750
Pathogenic Escherichia coli infection,D10762
Pathogenic Escherichia coli infection,D11785
Pathogenic Escherichia coli infection,D12326
Pathogenic Escherichia coli infection,D00346
Pathogenic Escherichia coli infection,D01501
Pathogenic Escherichia coli infection,D02002
Pathogenic Escherichia coli infection,D09773
Pathogenic Escherichia coli infection,D12723
Pathogenic Escherichia coli infection,D11695
Pathogenic Escherichia coli infection,D11792
Pathogenic Escherichia coli infection,D12817
Pathogenic Escherichia coli infection,D11811
Pathogenic Escherichia coli infection,D03034
Pathogenic Escherichia coli infection,D01076
Pathogenic Escherichia coli infection,D02195
Pathogenic Escherichia coli infection,D12612
Pathogenic Escherichia coli infection,D00128
Pathogenic Escherichia coli infection,D03047
Pathogenic Escherichia coli infection,D03048
Pathogenic Escherichia coli infection,D04791
Pathogenic Escherichia coli infection,D10087
Pathogenic Escherichia coli infection,D00424
Pathogenic Escherichia coli infection,D00211
Pathogenic Escherichia coli infection,D00879
Pathogenic Escherichia coli infection,D02550
Pathogenic Escherichia coli infection,D02554
Pathogenic Escherichia coli infection,D08479
Pathogenic Escherichia coli infection,D09394
Legionellosis,D10901
Legionellosis,D11044
Legionellosis,D11090
Legionellosis,D11834
Legionellosis,D11835
Legionellosis,D12483
Legionellosis,D12708
Legionellosis,D12717
Legionellosis,D12723
Legionellosis,D00359
Legionellosis,D00434
Legionellosis,D00887
Legionellosis,D00889
Legionellosis,D00892
Legionellosis,D00893
Legionellosis,D01862
Legionellosis,D01915
Legionellosis,D02258
Legionellosis,D03601
Legionellosis,D03643
Legionellosis,D03816
Legionellosis,D07474
Legionellosis,D07661
Legionellosis,D07983
Legionellosis,D08410
Legionellosis,D08492
Legionellosis,D10568
Legionellosis,D11092
Legionellosis,D11095
Legionellosis,D00752
Legionellosis,D01392
Legionellosis,D04936
Legionellosis,D05094
Legionellosis,D05095
Legionellosis,D05096
Legionellosis,D06130
Legionellosis,D00123
Legionellosis,D00131
Legionellosis,D12792
Legionellosis,D00749
Legionellosis,D03154
Legionellosis,D10172
Legionellosis,D11890
Legionellosis,D12505
Legionellosis,D13127
Legionellosis,D13128
Legionellosis,D00142
Legionellosis,D02115
Legionellosis,D03828
Legionellosis,D03942
Legionellosis,D05500
Legionellosis,D05589
Legionellosis,D05999
Legionellosis,D06238
Legionellosis,D06239
Legionellosis,D06503
Legionellosis,D07472
Legionellosis,D10596
Legionellosis,D11352
Legionellosis,D13147
Legionellosis,D00236
Legionellosis,D05177
Legionellosis,D11077
Legionellosis,D03021
Legionellosis,D03665
Legionellosis,D11740
Legionellosis,D00323
Legionellosis,D00391
Legionellosis,D00584
Legionellosis,D01064
Legionellosis,D01223
Legionellosis,D01244
Legionellosis,D01309
Legionellosis,D01784
Legionellosis,D04197
Legionellosis,D04964
Legionellosis,D07974
Legionellosis,D10803
Legionellosis,D11447
Legionellosis,D12388
Legionellosis,D12528
Legionellosis,D02755
Legionellosis,D04537
Legionellosis,D00161
Legionellosis,D04931
Legionellosis,D06109
Legionellosis,D08603
Legionellosis,D00925
Legionellosis,D02187
Legionellosis,D02188
Legionellosis,D04253
Legionellosis,D07995
Legionellosis,D00433
Legionellosis,D00447
Legionellosis,D00450
Legionellosis,D00580
Legionellosis,D00587
Legionellosis,D00592
Legionellosis,D00870
Legionellosis,D00871
Legionellosis,D01047
Legionellosis,D01141
Legionellosis,D01142
Legionellosis,D01216
Legionellosis,D01526
Legionellosis,D01601
Legionellosis,D01954
Legionellosis,D02001
Legionellosis,D02434
Legionellosis,D02435
Legionellosis,D02436
Legionellosis,D02437
Legionellosis,D02439
Legionellosis,D02440
Legionellosis,D02447
Legionellosis,D02450
Legionellosis,D02516
Legionellosis,D02517
Legionellosis,D02519
Legionellosis,D02520
Legionellosis,D05023
Legionellosis,D05947
Legionellosis,D05948
Legionellosis,D05949
Legionellosis,D05952
Legionellosis,D05956
Legionellosis,D05957
Legionellosis,D07060
