pathway_id,kegg_drug_id
map00053,D00131
map00340,D00123
map00340,D00131
map00620,D00123
map00620,D00131
map00625,D00123
map00625,D00131
map00480,D10901
map00480,D11044
map00480,D11090
map00480,D11834
map00480,D11835
map00480,D12483
map00480,D12708
map00480,D12717
map00480,D02755
map00480,D00829
map00480,D07883
map00970,D01076
map00970,D02195
map00970,D09324
map00970,D12612
map00710,D12792
map01503,D10087
map00500,D04537
map00500,D00216
map00460,D02755
map00430,D02755
map00720,D10901
map00720,D11044
map00720,D11090
map00720,D11834
map00720,D11835
map00720,D12483
map00720,D12708
map00720,D12717
map00190,D00236
map00190,D09872
map00190,D09873
map00020,D10901
map00020,D11044
map00020,D11090
map00020,D11834
map00020,D11835
map00020,D12483
map00020,D12708
map00020,D12717
map03020,D00424
map03020,D00211
map03020,D00879
map03020,D02550
map03020,D02554
map03020,D08479
map03020,D09394
map00130,D05177
map00450,D03034
map00450,D09324
map00900,D00359
map00900,D00434
map00900,D00887
map00900,D00889
map00900,D00892
map00900,D00893
map00900,D01862
map00900,D01915
map00900,D02258
map00900,D03601
map00900,D03643
map00900,D03816
map00900,D07474
map00900,D07661
map00900,D07983
map00900,D08410
map00900,D08492
map00900,D10568
map00900,D11092
map00900,D11095
map02030,D04791
map01100,D04458
map01100,D08044
map01100,D10595
map01100,D12277
map01100,D12991
map01100,D01805
map01100,D11004
map01100,D00304
map01100,D00399
map01100,D00710
map01100,D08667
map01100,D07258
map01100,D04245
map01100,D05396
map01100,D06596
map01100,D10431
map01100,D10432
map01100,D00145
map01100,D06097
map01100,D06236
map01100,D07238
map01100,D08337
map01100,D08563
map01100,D08644
map01100,D11085
map01110,D04458
map01110,D08044
map01110,D01805
map01110,D11004
map01110,D00304
map01110,D00399
map01110,D00710
map01110,D08667
map01110,D07258
map01110,D04245
map01110,D05396
map01110,D06596
map01110,D10431
map01110,D10432
map01120,D00304
map01120,D00399
map01120,D00710
map01120,D08667
map00650,D00304
map00650,D00399
map00650,D00710
map00650,D08667
map02020,D10595
map02020,D12277
map02020,D12991
map02020,D12817
map00250,D00304
map00250,D00399
map00250,D00710
map00250,D08667
map00230,D04245
map00230,D05396
map00230,D06596
map00230,D10431
map00230,D10432
map01232,D04245
map01232,D05396
map01232,D06596
map01232,D10431
map01232,D10432
map02026,D04537
map00270,D07258
map00330,D07258
map00350,D04458
map00350,D08044
map00360,D04458
map00360,D08044
map00260,D04458
map00260,D08044
map00730,D10595
map00730,D12277
map00730,D12991
map00790,D10595
map00790,D12277
map00790,D12991
map00790,D00145
map00790,D06097
map00790,D06236
map00790,D07238
map00790,D08337
map00790,D08563
map00790,D08644
map00790,D11085
map01240,D10595
map01240,D12277
map01240,D12991
map01240,D01805
map01240,D11004
map01501,D12817
map00860,D01805
map00860,D11004
map00040,D01805
map00040,D11004
map00053,D01805
map00053,D11004
map00760,D04245
map00760,D05396
map00760,D06596
map00760,D10431
map00760,D10432
map00670,D00145
map00670,D06097
map00670,D06236
map00670,D07238
map00670,D08337
map00670,D08563
map00670,D08644
map00670,D11085
map00430,D00304
map00430,D00399
map00430,D00710
map00430,D08667
map02024,D00304
map02024,D00399
map02024,D00710
map02024,D08667
map00410,D04458
map00410,D08044
map00410,D00304
map00410,D00399
map00410,D00710
map00410,D08667
map00552,D00128
map00552,D03047
map00552,D03048
map01100,D11981
map01100,D00505
map01100,D00785
map01100,D00826
map01100,D01097
map01100,D01888
map01100,D02559
map01100,D02560
map01100,D02561
map01100,D02562
