disease,drug,rank,score
rhabdomyosarcoma,DB00941,15,0.42881605
rhabdomyosarcoma,DB01010,16,0.4285839
rhabdomyosarcoma,DB00733,17,0.42612046
rhabdomyosarcoma,DB01057,18,0.42586398
rhabdomyosarcoma,DB00677,19,0.42214724
rhabdomyosarcoma,DB00772,20,0.41995752
digeorgesyndrome,DB11632,1,0.6993522
digeorgesyndrome,DB00323,2,0.6970083
digeorgesyndrome,DB00494,3,0.6916953
digeorgesyndrome,DB04951,4,0.5642293
digeorgesyndrome,DB01162,5,0.56305724
digeorgesyndrome,DB11629,6,0.527168
digeorgesyndrome,DB08820,7,0.5013305
digeorgesyndrome,DB11712,8,0.49801856
digeorgesyndrome,DB09280,9,0.49552336
digeorgesyndrome,DB00384,10,0.4937154
digeorgesyndrome,DB00594,11,0.4926977
digeorgesyndrome,DB15444,12,0.48900622
digeorgesyndrome,DB04209,13,0.4866263
digeorgesyndrome,DB15456,14,0.48477906
digeorgesyndrome,DB08931,15,0.48459443
digeorgesyndrome,DB08880,16,0.47927833
digeorgesyndrome,DB01076,17,0.47313702
digeorgesyndrome,DB00641,18,0.47124153
digeorgesyndrome,DB01098,19,0.4701082
digeorgesyndrome,DB00175,20,0.469725
lebercongenitalamaurosis,DB01162,1,0.71031606
lebercongenitalamaurosis,DB04951,2,0.6986212
lebercongenitalamaurosis,DB00811,3,0.6732222
lebercongenitalamaurosis,DB01033,4,0.66654265
lebercongenitalamaurosis,DB00437,5,0.6643828
lebercongenitalamaurosis,DB04854,6,0.6621704
lebercongenitalamaurosis,DB00688,7,0.658112
lebercongenitalamaurosis,DB01024,8,0.65804935
lebercongenitalamaurosis,DB16628,9,0.6574315
lebercongenitalamaurosis,DB15456,10,0.62168837
lebercongenitalamaurosis,DB04209,11,0.6203987
lebercongenitalamaurosis,DB08931,12,0.61567354
lebercongenitalamaurosis,DB08820,13,0.59478945
lebercongenitalamaurosis,DB11712,14,0.57813025
lebercongenitalamaurosis,DB00384,15,0.57213223
lebercongenitalamaurosis,DB09280,16,0.57089484
lebercongenitalamaurosis,DB00594,17,0.5700476
lebercongenitalamaurosis,DB15444,18,0.5693469
lebercongenitalamaurosis,DB00763,19,0.54580057
lebercongenitalamaurosis,DB00550,20,0.54072845
holoprosencephaly,DB09130,1,0.5219753
holoprosencephaly,DB00197,2,0.45371234
holoprosencephaly,DB01132,3,0.4536055
holoprosencephaly,DB09517,4,0.44467014
holoprosencephaly,DB00412,5,0.43043882
holoprosencephaly,DB06777,6,0.41431856
holoprosencephaly,DB05990,7,0.40433145
holoprosencephaly,DB00548,8,0.3895278
holoprosencephaly,DB05187,9,0.38111752
holoprosencephaly,DB11614,10,0.36905372
holoprosencephaly,DB01393,11,0.36576727
holoprosencephaly,DB01011,12,0.35661465
holoprosencephaly,DB00445,13,0.3538524
holoprosencephaly,DB01421,14,0.3515212
holoprosencephaly,DB00126,15,0.3482634
holoprosencephaly,DB11611,16,0.3371384
holoprosencephaly,DB03756,17,0.3329092
holoprosencephaly,DB09112,18,0.3328917
holoprosencephaly,DB11823,19,0.33243352
holoprosencephaly,DB00720,20,0.32773048
lissencephaly,DB11679,1,0.37252057
lissencephaly,DB09053,2,0.37058806
lissencephaly,DB00841,3,0.36039263
lissencephaly,DB12010,4,0.35821685
lissencephaly,DB15569,5,0.35661674
lissencephaly,DB00457,6,0.35497528
lissencephaly,DB09257,7,0.35260642
lissencephaly,DB06751,8,0.35032216
lissencephaly,DB01583,9,0.34217578
lissencephaly,DB04930,10,0.34075236
lissencephaly,DB00279,11,0.3402624
lissencephaly,DB00131,12,0.3374301
lissencephaly,DB15568,13,0.3371773
lissencephaly,DB00720,14,0.3366344
lissencephaly,DB04880,15,0.33607513
lissencephaly,DB19353,16,0.33571434
lissencephaly,DB09054,17,0.33458686
lissencephaly,DB12978,18,0.33450007
lissencephaly,DB01011,19,0.33323455
lissencephaly,DB00862,20,0.3316608
mitochondrialcomplexiiideficiency,DB08910,1,0.5132115
mitochondrialcomplexiiideficiency,DB01132,2,0.5117579
mitochondrialcomplexiiideficiency,DB00159,3,0.509231
mitochondrialcomplexiiideficiency,DB00482,4,0.5028732
mitochondrialcomplexiiideficiency,DB00197,5,0.5011152
mitochondrialcomplexiiideficiency,DB00412,6,0.48044932
mitochondrialcomplexiiideficiency,DB11327,7,0.47630835
mitochondrialcomplexiiideficiency,DB01250,8,0.4475609
mitochondrialcomplexiiideficiency,DB01399,9,0.44145805
mitochondrialcomplexiiideficiency,DB01401,10,0.4400159
mitochondrialcomplexiiideficiency,DB11071,11,0.43894556
mitochondrialcomplexiiideficiency,DB01283,12,0.4377963
mitochondrialcomplexiiideficiency,DB11323,13,0.4355903
mitochondrialcomplexiiideficiency,DB01009,14,0.43545008
mitochondrialcomplexiiideficiency,DB00712,15,0.43528068
mitochondrialcomplexiiideficiency,DB11079,16,0.43524724
mitochondrialcomplexiiideficiency,DB06802,17,0.4327522
mitochondrialcomplexiiideficiency,DB00573,18,0.4322315
mitochondrialcomplexiiideficiency,DB00533,19,0.4313479
mitochondrialcomplexiiideficiency,DB00861,20,0.4310519
longqtsyndrome,DB06815,1,0.8804932
longqtsyndrome,DB00489,2,0.8774096
longqtsyndrome,DB01118,3,0.87701464
longqtsyndrome,DB13269,4,0.877011
longqtsyndrome,DB00308,5,0.87685555
longqtsyndrome,DB00252,6,0.8766353
longqtsyndrome,DB00754,7,0.8761129
longqtsyndrome,DB00204,8,0.8759283
longqtsyndrome,DB00808,9,0.87587386
longqtsyndrome,DB09345,10,0.8758681
longqtsyndrome,DB00680,11,0.8756536
longqtsyndrome,DB01218,12,0.87564725
longqtsyndrome,DB00740,13,0.8754844
longqtsyndrome,DB00532,14,0.8754045
longqtsyndrome,DB00564,15,0.87526035
longqtsyndrome,DB00645,16,0.8749864
longqtsyndrome,DB00192,17,0.87497103
longqtsyndrome,DB00379,18,0.87494916
longqtsyndrome,DB01182,19,0.8748938
longqtsyndrome,DB01228,20,0.87466633
qfever,DB08880,1,0.6735944
qfever,DB00641,2,0.67147684
qfever,DB01095,3,0.6689985
qfever,DB00227,4,0.6678659
qfever,DB01076,5,0.66700304
qfever,DB00175,6,0.66683114
qfever,DB01098,7,0.6667993
qfever,DB08860,8,0.66319895
qfever,DB00439,9,0.6620583
qfever,DB00945,10,0.47553656
qfever,DB11632,11,0.39943135
qfever,DB00494,12,0.3981558
qfever,DB00323,13,0.39719453
qfever,DB11629,14,0.34861502
qfever,DB00530,15,0.29615855
qfever,DB14726,16,0.29206073
qfever,DB06695,17,0.28987396
qfever,DB00278,18,0.2872973
qfever,DB00114,19,0.2867779
qfever,DB00006,20,0.2855397
dyskeratosiscongenita,DB00544,1,0.5567514
dyskeratosiscongenita,DB04115,2,0.5487745
dyskeratosiscongenita,DB14909,3,0.5288108
dyskeratosiscongenita,DB00997,4,0.4388823
dyskeratosiscongenita,DB00648,5,0.43590438
dyskeratosiscongenita,DB04938,6,0.43195745
dyskeratosiscongenita,DB00890,7,0.42863205
dyskeratosiscongenita,DB00539,8,0.4206698
dyskeratosiscongenita,DB13981,9,0.4152071
dyskeratosiscongenita,DB00947,10,0.4147629
dyskeratosiscongenita,DB08910,11,0.41229087
dyskeratosiscongenita,DB00882,12,0.41168737
dyskeratosiscongenita,DB04575,13,0.41061252
dyskeratosiscongenita,DB04573,14,0.4092294
dyskeratosiscongenita,DB12235,15,0.4088506
dyskeratosiscongenita,DB00977,16,0.40685868
dyskeratosiscongenita,DB00806,17,0.40631127
dyskeratosiscongenita,DB00655,18,0.40574312
dyskeratosiscongenita,DB14723,19,0.4054346
dyskeratosiscongenita,DB01357,20,0.4051467
opticatrophy,DB12218,1,0.3843363
opticatrophy,DB01421,2,0.3646574
opticatrophy,DB12236,3,0.3584041
opticatrophy,DB00200,4,0.34572858
opticatrophy,DB11823,5,0.34418488
opticatrophy,DB06292,6,0.34167373
opticatrophy,DB11791,7,0.33951455
opticatrophy,DB15694,8,0.33813143
opticatrophy,DB00504,9,0.33714342
opticatrophy,DB00772,10,0.33480954
opticatrophy,DB12597,11,0.33412167
opticatrophy,DB13946,12,0.3337686
opticatrophy,DB01199,13,0.3336455
opticatrophy,DB13944,14,0.33341962
opticatrophy,DB12010,15,0.33233437
opticatrophy,DB00282,16,0.33174896
opticatrophy,DB13146,17,0.33152735
opticatrophy,DB00449,18,0.33137417
opticatrophy,DB08877,19,0.3308678
opticatrophy,DB06751,20,0.33078277
hyperprolactinemia,DB00714,1,0.80163425
hyperprolactinemia,DB06808,2,0.80138016
hyperprolactinemia,DB00433,3,0.80023646
hyperprolactinemia,DB05271,4,0.7987044
hyperprolactinemia,DB00420,5,0.79771787
hyperprolactinemia,DB01184,6,0.79710656
hyperprolactinemia,DB00248,7,0.7968738
hyperprolactinemia,DB00268,8,0.796396
hyperprolactinemia,DB09097,9,0.7961682
hyperprolactinemia,DB01063,10,0.7956678
hyperprolactinemia,DB00372,11,0.79490644
hyperprolactinemia,DB01618,12,0.7946816
hyperprolactinemia,DB04821,13,0.79466814
hyperprolactinemia,DB12710,14,0.7944841
hyperprolactinemia,DB01253,15,0.7941773
hyperprolactinemia,DB00915,16,0.7937888
hyperprolactinemia,DB00610,17,0.79339224
hyperprolactinemia,DB00831,18,0.7933893
hyperprolactinemia,DB06016,19,0.79322755
hyperprolactinemia,DB12313,20,0.7927711
disseminatedintravascularcoagulation,DB14726,1,0.72389364
disseminatedintravascularcoagulation,DB06695,2,0.7212244
disseminatedintravascularcoagulation,DB00464,3,0.7209848
disseminatedintravascularcoagulation,DB00114,4,0.7200098
disseminatedintravascularcoagulation,DB00278,5,0.7168542
disseminatedintravascularcoagulation,DB04898,6,0.7137155
disseminatedintravascularcoagulation,DB00006,7,0.7115413
disseminatedintravascularcoagulation,DB00569,8,0.6280614
disseminatedintravascularcoagulation,DB01125,9,0.540041
disseminatedintravascularcoagulation,DB00636,10,0.5086485
disseminatedintravascularcoagulation,DB01241,11,0.5025792
disseminatedintravascularcoagulation,DB13853,12,0.482867
disseminatedintravascularcoagulation,DB16200,13,0.47684863
disseminatedintravascularcoagulation,DB00641,14,0.433703
disseminatedintravascularcoagulation,DB00175,15,0.4334153
disseminatedintravascularcoagulation,DB04711,16,0.43101093
disseminatedintravascularcoagulation,DB03585,17,0.4308868
disseminatedintravascularcoagulation,DB06705,18,0.43035892
disseminatedintravascularcoagulation,DB13967,19,0.4291497
disseminatedintravascularcoagulation,DB00227,20,0.42890513
prader-willisyndrome,DB00746,1,0.4271044
prader-willisyndrome,DB01609,2,0.40759587
prader-willisyndrome,DB16650,3,0.39316985
prader-willisyndrome,DB08877,4,0.38243383
prader-willisyndrome,DB01708,5,0.36003724
prader-willisyndrome,DB03085,6,0.35713962
prader-willisyndrome,DB00608,7,0.3563308
prader-willisyndrome,DB08818,8,0.35098392
prader-willisyndrome,DB09112,9,0.35095456
prader-willisyndrome,DB01070,10,0.35088217
prader-willisyndrome,DB06154,11,0.34922543
prader-willisyndrome,DB00672,12,0.34718388
prader-willisyndrome,DB00910,13,0.34680063
prader-willisyndrome,DB00153,14,0.3465768
prader-willisyndrome,DB02300,15,0.3463972
prader-willisyndrome,DB01382,16,0.34569588
prader-willisyndrome,DB00867,17,0.34461534
prader-willisyndrome,DB00839,18,0.34411633
prader-willisyndrome,DB00169,19,0.34317434
prader-willisyndrome,DB01251,20,0.34316587
lymphangioleiomyomatosis,DB00275,1,0.4205253
lymphangioleiomyomatosis,DB00876,2,0.41586217
lymphangioleiomyomatosis,DB00678,3,0.41526705
lymphangioleiomyomatosis,DB09019,4,0.41462323
lymphangioleiomyomatosis,DB01029,5,0.41435087
lymphangioleiomyomatosis,DB08822,6,0.4128762
lymphangioleiomyomatosis,DB00177,7,0.4121573
lymphangioleiomyomatosis,DB12548,8,0.4089994
lymphangioleiomyomatosis,DB00796,9,0.40862665
lymphangioleiomyomatosis,DB13751,10,0.3160022
lymphangioleiomyomatosis,DB00966,11,0.30778885
lymphangioleiomyomatosis,DB13166,12,0.2773258
lymphangioleiomyomatosis,DB01180,13,0.27675313
lymphangioleiomyomatosis,DB01197,14,0.27663606
lymphangioleiomyomatosis,DB00492,15,0.27662915
lymphangioleiomyomatosis,DB00542,16,0.27641657
lymphangioleiomyomatosis,DB00790,17,0.27590474
lymphangioleiomyomatosis,DB01348,18,0.27584013
lymphangioleiomyomatosis,DB00178,19,0.27557087
lymphangioleiomyomatosis,DB13853,20,0.27543867
hypotrichosis,DB00720,1,0.2489325
hypotrichosis,DB01064,2,0.24392441
hypotrichosis,DB01421,3,0.24180368
hypotrichosis,DB01435,4,0.23030055
hypotrichosis,DB00627,5,0.22392753
hypotrichosis,DB00126,6,0.2238193
hypotrichosis,DB01011,7,0.2224898
hypotrichosis,DB00521,8,0.2208721
hypotrichosis,DB00525,9,0.21734539
hypotrichosis,DB01158,10,0.21717885
hypotrichosis,DB00140,11,0.21671909
hypotrichosis,DB09462,12,0.21647353
hypotrichosis,DB08949,13,0.21595168
hypotrichosis,DB09257,14,0.21432304
hypotrichosis,DB11823,15,0.21403426
hypotrichosis,DB06441,16,0.21396029
hypotrichosis,DB12390,17,0.21330035
hypotrichosis,DB01254,18,0.21329285
hypotrichosis,DB01240,19,0.21306808
hypotrichosis,DB05630,20,0.21206945
loeys-dietzsyndrome,DB01296,1,0.4551286
loeys-dietzsyndrome,DB11994,2,0.44827995
loeys-dietzsyndrome,DB05260,3,0.4447231
loeys-dietzsyndrome,DB11611,4,0.42493093
loeys-dietzsyndrome,DB00437,5,0.40753868
loeys-dietzsyndrome,DB16650,6,0.39622548
loeys-dietzsyndrome,DB13063,7,0.3803734
loeys-dietzsyndrome,DB08818,8,0.37554038
loeys-dietzsyndrome,DB00627,9,0.37406942
loeys-dietzsyndrome,DB01041,10,0.372807
loeys-dietzsyndrome,DB00746,11,0.37266058
loeys-dietzsyndrome,DB09112,12,0.36665294
loeys-dietzsyndrome,DB03085,13,0.36376017
loeys-dietzsyndrome,DB04854,14,0.36335173
loeys-dietzsyndrome,DB08814,15,0.36272138
loeys-dietzsyndrome,DB08949,16,0.35904658
loeys-dietzsyndrome,DB01708,17,0.3542315
loeys-dietzsyndrome,DB03619,18,0.35354048
loeys-dietzsyndrome,DB16628,19,0.35189533
loeys-dietzsyndrome,DB06154,20,0.34958673
parkinsondisease,DB00714,1,0.7622025
parkinsondisease,DB06808,2,0.7619689
parkinsondisease,DB01624,3,0.7612845
parkinsondisease,DB09086,4,0.7602036
parkinsondisease,DB00752,5,0.7597675
parkinsondisease,DB00433,6,0.7583661
parkinsondisease,DB11275,7,0.75770897
parkinsondisease,DB01626,8,0.7569828
parkinsondisease,DB00420,9,0.7567721
parkinsondisease,DB11274,10,0.75610876
parkinsondisease,DB01037,11,0.75587523
parkinsondisease,DB01623,12,0.7558549
parkinsondisease,DB00268,13,0.75576985
parkinsondisease,DB01063,14,0.75409734
parkinsondisease,DB01184,15,0.7539642
parkinsondisease,DB05271,16,0.7539104
parkinsondisease,DB00780,17,0.75383675
parkinsondisease,DB01618,18,0.75358194
parkinsondisease,DB12313,19,0.7535033
parkinsondisease,DB09097,20,0.75300056
coronaryarterydisease,DB00648,1,0.74435914
coronaryarterydisease,DB00890,2,0.7429949
coronaryarterydisease,DB04938,3,0.7427067
coronaryarterydisease,DB04575,4,0.73604274
coronaryarterydisease,DB04574,5,0.73512304
coronaryarterydisease,DB13981,6,0.73502016
coronaryarterydisease,DB00539,7,0.7341745
coronaryarterydisease,DB04573,8,0.7340406
coronaryarterydisease,DB00947,9,0.7338594
coronaryarterydisease,DB00655,10,0.7333634
coronaryarterydisease,DB00977,11,0.73301774
coronaryarterydisease,DB06401,12,0.73254484
coronaryarterydisease,DB00882,13,0.73236626
coronaryarterydisease,DB01357,14,0.73217964
coronaryarterydisease,DB12235,15,0.7311195
coronaryarterydisease,DB09070,16,0.7292632
coronaryarterydisease,DB13953,17,0.72818816
coronaryarterydisease,DB06374,18,0.7264793
coronaryarterydisease,DB04813,19,0.72576755
coronaryarterydisease,DB01185,20,0.7208457
asthma,DB12243,1,0.8330364
asthma,DB01229,2,0.80979234
asthma,DB11581,3,0.80424225
asthma,DB12332,4,0.7781504
asthma,DB11760,5,0.7738806
asthma,DB09074,6,0.7720614
asthma,DB11793,7,0.7717415
asthma,DB16157,8,0.759338
asthma,DB12789,9,0.7592871
asthma,DB03843,10,0.75747645
asthma,DB09543,11,0.757244
asthma,DB00825,12,0.7547163
asthma,DB05219,13,0.7546054
asthma,DB14184,14,0.7529908
asthma,DB14212,15,0.75284463
asthma,DB01656,16,0.7526472
asthma,DB01427,17,0.75101274
asthma,DB01113,18,0.75039434
asthma,DB00613,19,0.74773467
asthma,DB00744,20,0.7030219
dengue,DB08910,1,0.40015477
dengue,DB01041,2,0.36215112
dengue,DB00445,3,0.35205922
dengue,DB00459,4,0.31938538
dengue,DB01011,5,0.30281055
dengue,DB09257,6,0.3004965
dengue,DB00482,7,0.29391408
dengue,DB11679,8,0.2885237
dengue,DB00521,9,0.28681415
dengue,DB01421,10,0.28626257
dengue,DB01698,11,0.2771047
dengue,DB00126,12,0.2731872
dengue,DB00131,13,0.27086613
dengue,DB11327,14,0.2700975
dengue,DB04845,15,0.2697256
dengue,DB06209,16,0.26968265
dengue,DB00693,17,0.268487
dengue,DB00944,18,0.26642948
dengue,DB08814,19,0.26378605
dengue,DB00720,20,0.256006
tuberculosis,DB09517,1,0.7050315
tuberculosis,DB09112,2,0.6687018
tuberculosis,DB00548,3,0.6666608
tuberculosis,DB03085,4,0.6660775
tuberculosis,DB01708,5,0.6594186
tuberculosis,DB06154,6,0.65851414
tuberculosis,DB09130,7,0.6508794
tuberculosis,DB00608,8,0.64283645
tuberculosis,DB01611,9,0.61067164
tuberculosis,DB01254,10,0.6040056
tuberculosis,DB00746,11,0.5739031
tuberculosis,DB01609,12,0.5499743
tuberculosis,DB00208,13,0.5244974
tuberculosis,DB05187,14,0.513347
tuberculosis,DB04348,15,0.5129476
tuberculosis,DB01393,16,0.50100845
tuberculosis,DB16650,17,0.49974662
tuberculosis,DB01064,18,0.48400515
tuberculosis,DB13873,19,0.47716728
tuberculosis,DB01039,20,0.4632727
breastcancer,DB12483,1,0.6488104
breastcancer,DB11828,2,0.6418463
breastcancer,DB01259,3,0.6367457
breastcancer,DB08916,4,0.63512224
breastcancer,DB12015,5,0.6346415
breastcancer,DB11963,6,0.63367474
breastcancer,DB11652,7,0.6292571
breastcancer,DB12001,8,0.61603624
breastcancer,DB05676,9,0.61521214
breastcancer,DB09073,10,0.6136831
breastcancer,DB11730,11,0.6103962
breastcancer,DB15442,12,0.60945255
breastcancer,DB15568,13,0.5963011
breastcancer,DB15569,14,0.5904283
breastcancer,DB14840,15,0.5899874
breastcancer,DB15275,16,0.5898169
breastcancer,DB00317,17,0.5604177
breastcancer,DB16390,18,0.53989124
breastcancer,DB09330,19,0.53929543
breastcancer,DB09079,20,0.5381415
