PathwayID,PathwayName,NumGenes,GeneSymbols,GeneIndices
hsa05142,Chagas disease - Homo sapiens (human),38,ACE;AKT1;C3;CCL2;CCL3;CCL5;CXCL8;FAS;FASLG;GNAS;IFNB1;IFNG;IL10;IL12A;IL12B;IL1B;IL2;IL6;IRAK1;JUN;NFKB1;NFKBIA;NOS2;PIK3R1;PPP2CA;RELA;SERPINE1;SMAD2;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TLR4;TLR9;TNF;TNFRSF1A;TRAF6,11;37;133;155;157;159;289;388;389;454;554;555;570;572;573;579;582;592;602;616;768;770;780;863;891;948;1003;1049;1116;1117;1118;1119;1120;1134;1135;1141;1148;1170
hsa05130,Pathogenic Escherichia coli infection - Homo sapiens (human),37,ACTG1;CASP1;CASP3;CASP7;CLDN11;CLDN18;CXCL8;F2;FAS;FASLG;FCGR2A;GAPDH;GNA13;IL18;IL1B;IL6;IRAK1;JUN;MAP3K7;MYH11;NCK1;NCK2;NFKB1;NFKBIA;NLRP3;PTPN11;RELA;SEC24D;TAB2;TIRAP;TLR4;TNF;TNFRSF1A;TNFSF10;TRAF6;TUBA1B;TUBA1C,15;144;145;146;223;224;289;373;388;389;396;433;453;577;579;592;602;616;690;743;753;754;768;770;774;925;948;998;1089;1132;1134;1141;1148;1151;1170;1188;1189
hsa05323,Rheumatoid arthritis - Homo sapiens (human),37,CCL2;CCL20;CCL3;CCL5;CD80;CD86;CSF2;CTLA4;CTSL;CXCL12;CXCL8;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;ICAM1;IFNG;IL15;IL17A;IL18;IL1A;IL1B;IL23A;IL6;JUN;MMP1;MMP3;PTH;TGFB1;TGFB2;TGFB3;TLR4;TNF;TNFSF11;VEGFA,155;156;157;159;182;184;273;280;284;287;289;513;514;515;516;517;518;542;555;575;576;577;578;579;584;592;616;713;717;922;1116;1117;1118;1134;1141;1152;1217
hsa04062,Chemokine signaling pathway - Homo sapiens (human),37,ADCY2;ADCY5;AKT1;BRAF;CCL11;CCL2;CCL20;CCL3;CCL4;CCL5;CCR4;CCR6;CCR7;CRKL;CXCL10;CXCL11;CXCL12;CXCL14;CXCL8;CXCL9;GNB3;HRAS;KRAS;MAP2K1;NFKB1;NFKBIA;NRAS;PIK3CG;PIK3R1;PRKACA;PRKACB;RAF1;RELA;SOS1;STAT1;STAT3;VAV1,21;22;37;122;154;155;156;157;158;159;164;165;166;262;285;286;287;288;289;290;455;529;638;687;768;770;795;862;863;897;898;937;948;1068;1079;1080;1212
hsa05140,Leishmaniasis - Homo sapiens (human),37,C3;CR1;CYBA;FCGR2A;FCGR3A;FCGR3B;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;IFNG;IL10;IL12A;IL12B;IL1A;IL1B;IL4;IRAK1;JAK1;JUN;MAP3K7;NCF4;NFKB1;NFKBIA;NOS2;PTGS2;RELA;STAT1;TAB2;TGFB1;TGFB2;TGFB3;TLR4;TNF;TRAF6,133;256;291;396;398;399;513;514;515;516;517;518;555;570;572;573;578;579;589;602;613;616;690;752;768;770;780;921;948;1079;1089;1116;1117;1118;1134;1141;1170
hsa04620,Toll-like receptor signaling pathway - Homo sapiens (human),37,AKT1;CCL3;CCL4;CCL5;CD14;CD40;CD80;CD86;CXCL10;CXCL11;CXCL8;CXCL9;IFNA2;IFNB1;IL12A;IL12B;IL1B;IL6;IRAK1;JAK1;JUN;MAP2K1;MAP2K2;MAP3K7;NFKB1;NFKBIA;PIK3R1;RELA;SPP1;STAT1;TAB2;TIRAP;TLR4;TLR9;TNF;TRAF6;TYK2,37;157;158;159;169;175;182;184;285;286;289;290;553;554;572;573;579;592;602;613;616;687;688;690;768;770;863;948;1075;1079;1089;1132;1134;1135;1141;1170;1192
hsa04517,IgSF CAM signaling - Homo sapiens (human),36,ACTG1;AKT1;CD2;CD209;CD80;CD86;CD96;CNTNAP2;CTNNB1;DOK2;FGA;FGB;FGFR1;ICAM1;MAG;MAP2;MAP2K1;MAP2K2;MYH11;MYLK;NCK1;NCK2;NECTIN2;NPHS2;NTRK3;PAK4;PIK3R1;PTPN11;ROBO2;SLITRK5;SLITRK6;TRAF6;TUBA1B;TUBA1C;VAV1;VCL,15;37;171;172;182;184;185;234;283;328;402;403;406;542;681;686;687;688;743;744;753;754;760;785;801;815;863;925;962;1046;1047;1170;1188;1189;1212;1215
hsa04936,Alcoholic liver disease - Homo sapiens (human),36,ADIPOQ;AKT1;ALDH2;C3;CASP3;CCND1;CD14;CPT1B;CTNNB1;CXCL8;CYP2E1;FAS;FASLG;IFNA2;IFNB1;IL12A;IL12B;IL17A;IL1B;IL6;IRAK1;MAP3K5;MAP3K7;NFKB1;NFKBIA;PPARA;PPARGC1A;RELA;SIRT1;TAB2;TCF7;TIRAP;TLR4;TNF;TNFRSF1A;TRAF6,24;37;41;133;145;161;169;255;283;289;300;388;389;553;554;572;573;576;579;592;602;689;690;768;770;886;888;948;1015;1089;1105;1132;1134;1141;1148;1170
hsa04390,Hippo signaling pathway - Homo sapiens (human),36,ACTG1;APC;AREG;BBC3;BIRC2;BIRC3;BMP2;BMP4;BMP6;CCND1;CRB1;CTNNA2;CTNNA3;CTNNB1;FZD4;GLI2;MYC;NF2;PPP2CA;RASSF1;SERPINE1;SMAD2;SMAD3;SMAD4;SOX2;TCF7;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TP73;WNT1;WNT11;WNT5A;YAP1,15;61;70;103;114;115;118;119;120;161;258;281;282;283;426;451;740;766;891;939;1003;1049;1050;1051;1070;1105;1116;1117;1118;1119;1120;1163;1229;1230;1231;1239
hsa05146,Amoebiasis - Homo sapiens (human),36,ARG1;ARG2;CASP3;CD14;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;CSF2;CXCL8;FN1;GNAS;HSPB1;IFNG;IL10;IL12A;IL12B;IL1B;IL6;LAMA2;LAMB1;LAMC1;NFKB1;NOS2;PIK3R1;PRKACA;PRKACB;RAB7B;RELA;TGFB1;TGFB2;TGFB3;TLR4;TNF;VCL,71;72;145;169;239;240;242;243;244;273;289;414;454;537;555;570;572;573;579;592;644;645;646;768;780;863;897;898;934;948;1116;1117;1118;1134;1141;1215
hsa04932,Non-alcoholic fatty liver disease - Homo sapiens (human),36,ADIPOQ;AKT1;CASP3;CASP7;CXCL8;CYC1;CYP2E1;EIF2S1;ERN1;FAS;FASLG;IL1A;IL1B;IL6;IL6R;INS;INSR;IRS1;IRS2;JUN;LEP;MAP3K5;NDUFS3;NFKB1;PIK3R1;PPARA;PPARG;RELA;SOCS3;TGFB1;TNF;TNFRSF1A;UQCRB;UQCRC2;UQCRQ;XBP1,24;37;145;146;289;292;300;351;365;388;389;578;579;592;593;597;599;606;607;616;652;689;759;768;863;886;887;948;1064;1116;1141;1148;1202;1203;1204;1234
hsa04145,Phagosome - Homo sapiens (human),36,ACTG1;C1R;C3;CD14;CD209;CD36;CORO1A;CTSL;CYBA;DYNC2H1;FCGR2A;FCGR2B;FCGR3A;FCGR3B;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;MPO;MSR1;NCF4;NOS1;RAB7B;SFTPA2;TFRC;THBS1;THBS2;TLR4;TUBA1B;TUBA1C,15;131;133;169;172;173;252;284;291;337;396;397;398;399;510;511;512;513;514;515;516;517;518;519;722;727;752;779;934;1007;1113;1125;1126;1134;1188;1189
hsa04380,Osteoclast differentiation - Homo sapiens (human),35,AKT1;CALCR;CYBA;FCGR2A;FCGR2B;FCGR3A;FCGR3B;IFNB1;IFNG;IL1A;IL1B;JAK1;JUN;MAP2K1;MAP3K7;NCF4;NFKB1;NFKB2;NFKBIA;PIK3R1;PPARG;RELA;SOCS3;STAT1;TAB2;TGFB1;TGFB2;TGFBR1;TGFBR2;TNF;TNFRSF11B;TNFRSF1A;TNFSF11;TRAF6;TYK2,37;136;291;396;397;398;399;554;555;578;579;613;616;687;690;752;768;769;770;863;887;948;1064;1079;1089;1116;1117;1119;1120;1141;1143;1148;1152;1170;1192
hsa04820,Cytoskeleton in muscle cells - Homo sapiens (human),35,ACTG1;ATP1B2;BGN;COL11A1;COL11A2;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;COL5A1;COL5A2;COL9A1;COL9A2;COL9A3;CSRP2;DAAM2;DSP;ENO1;ENO2;FBN1;FBN2;FN1;LAMA2;LMOD1;MYH11;PDLIM4;PDLIM5;THBS1;THBS2;TLN1;TPM4;VCAN;VCL;VIM,15;91;112;235;236;239;240;242;243;244;245;246;247;248;249;276;303;334;355;356;390;391;414;644;661;743;838;839;1125;1126;1133;1165;1214;1215;1220
hsa01522,Endocrine resistance - Homo sapiens (human),35,ADCY2;ADCY5;AKT1;BCL2;BRAF;CARM1;CCND1;CDKN2A;CYP2D6;EGFR;ERBB2;ESR1;ESR2;GNAS;GPER1;HRAS;IGF1;IGF1R;JAG1;JAG2;JUN;KRAS;MAP2K1;MAP2K2;MMP2;MMP9;NOTCH1;NRAS;PIK3R1;PRKACA;PRKACB;RAF1;RB1;SOS1;TP53,21;22;37;106;122;143;161;192;299;348;362;366;367;454;462;529;562;563;611;612;616;638;687;688;716;718;782;795;863;897;898;937;941;1068;1162
hsa04810,Regulation of actin cytoskeleton - Homo sapiens (human),35,ACTG1;AKT1;APC;BRAF;CHRM3;CRKL;CXCL12;EGFR;F2;FGF2;FGF8;FGFR1;FGFR2;FGFR3;FN1;GNA13;GSN;HRAS;INS;KRAS;MAP2K1;MAP2K2;MRAS;MYH11;MYLK;NRAS;PAK4;PDGFD;PDGFRA;PIK3R1;RAF1;SLC9A1;SOS1;VAV1;VCL,15;37;61;122;213;262;287;348;373;404;405;406;407;408;414;453;472;529;597;638;687;688;723;743;744;795;815;836;837;863;937;1045;1068;1212;1215
hsa04714,Thermogenesis - Homo sapiens (human),34,ACTG1;ADCY2;ADCY5;ARID1A;ARID1B;CNR1;CPT1B;CREB3L1;CYC1;FGFR1;GNAS;HRAS;KRAS;MAP3K5;MGLL;NDUFS3;NPPB;NRAS;PPARG;PPARGC1A;PRDM16;PRKACA;PRKACB;PRKG1;SMARCA2;SMARCA4;SMARCB1;SMARCE1;SOS1;TSC1;TSC2;UQCRB;UQCRC2;UQCRQ,15;21;22;73;74;232;255;260;292;406;454;529;638;689;705;759;787;795;887;888;893;897;898;899;1053;1054;1055;1056;1068;1180;1181;1202;1203;1204
hsa04140,Autophagy - animal - Homo sapiens (human),34,AKT1;ATG16L1;ATG4C;BCL2;BCL2L1;BNIP3;C9ORF72;CTSL;DDIT4;EIF2S1;ERN1;HIF1A;HRAS;IGF1R;INS;IRS1;IRS2;KRAS;MAP2K1;MAP2K2;MAP3K7;MRAS;NRAS;PIK3R1;PPP2CA;PRKACA;PRKACB;PTEN;RAB7B;RAF1;TRAF6;TSC1;TSC2;VAMP8,37;84;85;106;107;121;134;284;308;351;365;508;529;563;597;606;607;638;687;688;690;723;795;863;891;897;898;919;934;937;1170;1180;1181;1209
hsa04514,Cell adhesion molecule (CAM) interaction - Homo sapiens (human),34,CD2;CD4;CD40;CD40LG;CD58;CD6;CD80;CD86;CLDN11;CLDN18;CNTNAP2;CTLA4;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;ICAM1;ICOS;ICOSLG;MAG;NECTIN2;PDCD1;PECAM1;SELE;SLITRK5;SLITRK6;VCAM1;VCAN,171;174;175;176;179;180;182;184;223;224;234;280;510;511;512;513;514;515;516;517;518;519;542;543;544;681;760;830;840;999;1046;1047;1213;1214
hsa05144,Malaria - Homo sapiens (human),33,ACKR1;CCL2;CD36;CD40;CD40LG;CD81;CR1;CSF3;CXCL8;GYPA;GYPB;GYPC;HBB;HGF;ICAM1;IFNG;IL10;IL12A;IL18;IL1B;IL6;MET;PECAM1;SELE;TGFB1;TGFB2;TGFB3;THBS1;THBS2;TLR4;TLR9;TNF;VCAM1,13;155;173;175;176;183;256;274;289;481;482;483;490;503;542;555;570;572;577;579;592;701;840;999;1116;1117;1118;1125;1126;1134;1135;1141;1213
hsa04066,HIF-1 signaling pathway - Homo sapiens (human),33,AKT1;BCL2;EDN1;EGFR;ENO1;ENO2;EPO;ERBB2;GAPDH;HIF1A;HMOX1;IFNG;IGF1;IGF1R;IL6;IL6R;INS;INSR;LTBR;MAP2K1;MAP2K2;NFKB1;NOS2;NOS3;PIK3R1;RELA;SERPINE1;STAT3;TF;TFRC;TLR4;VEGFA;VHL,37;106;343;348;355;356;359;362;433;508;522;555;562;563;592;593;597;599;678;687;688;768;780;781;863;948;1003;1080;1110;1113;1134;1217;1219
hsa04657,IL-17 signaling pathway - Homo sapiens (human),33,CASP3;CCL11;CCL2;CCL20;CSF2;CSF3;CXCL10;CXCL8;IFNG;IL13;IL17A;IL1B;IL4;IL5;IL6;JUN;LCN2;MAP3K7;MMP1;MMP3;MMP9;MUC5B;NFKB1;NFKBIA;PTGS2;RELA;S100A7;S100A9;TAB2;TNF;TNFAIP3;TRAF3IP2;TRAF6,145;154;155;156;273;274;285;289;555;574;576;579;589;591;592;616;650;690;713;717;718;734;768;770;921;948;982;983;1089;1141;1142;1169;1170
hsa04660,T cell receptor signaling pathway - Homo sapiens (human),33,AKT1;CBLB;CD4;CD40LG;CSF2;CTLA4;HRAS;ICOS;IFNG;IL10;IL2;IL4;IL5;JUN;KRAS;MAP2K1;MAP2K2;MAP3K7;NCK1;NCK2;NFKB1;NFKBIA;NRAS;PAK4;PDCD1;PIK3R1;PPP2CA;PTPN11;RAF1;RELA;SOS1;TNF;VAV1,37;150;174;176;273;280;529;543;555;570;582;589;591;616;638;687;688;690;753;754;768;770;795;815;830;863;891;925;937;948;1068;1141;1212
hsa01521,EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human),32,AKT1;BCL2;BCL2L1;BRAF;EGFR;ERBB2;FGF2;FGFR2;FGFR3;HGF;HRAS;IGF1;IGF1R;IL6;IL6R;JAK1;KRAS;MAP2K1;MAP2K2;MET;NF1;NRAS;NRG1;PDGFD;PDGFRA;PIK3R1;PTEN;RAF1;SOS1;STAT3;TGFA;VEGFA,37;106;107;122;348;362;404;407;408;503;529;562;563;592;593;613;638;687;688;701;765;795;796;836;837;863;919;937;1068;1080;1115;1217
hsa04072,Phospholipase D signaling pathway - Homo sapiens (human),32,ADCY2;ADCY5;AGT;AGTR1;AKT1;CXCL8;DGKE;DGKK;EGFR;F2;GNA13;GNAS;GRM4;HRAS;INS;INSR;KRAS;LPAR6;MAP2K1;MAP2K2;MRAS;NRAS;PDGFD;PDGFRA;PIK3CG;PIK3R1;PLPP3;PTPN11;RAF1;SOS1;TSC1;TSC2,21;22;28;29;37;289;315;316;348;373;453;454;469;529;597;599;638;665;687;688;723;795;836;837;862;863;877;925;937;1068;1180;1181
hsa04640,Hematopoietic cell lineage - Homo sapiens (human),32,CD14;CD19;CD2;CD36;CD4;CD44;CR1;CR2;CSF2;CSF3;EPO;FCER2;GYPA;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;IL1A;IL1B;IL2RA;IL4;IL4R;IL5;IL6;IL6R;IL7;IL7R;MS4A1;TFRC;TNF,169;170;171;173;174;177;256;257;273;274;359;395;481;513;514;515;516;517;518;578;579;586;589;590;591;592;593;594;595;725;1113;1141
hsa04371,Apelin signaling pathway - Homo sapiens (human),32,ACTA2;ADCY2;ADCY5;AGTR1;AKT1;CCND1;GNA13;GNB3;HRAS;JAG1;KRAS;MAP2K1;MAP2K2;MRAS;MYLK;NOS1;NOS2;NOS3;NRAS;PIK3CG;PLAT;PPARGC1A;PRKACA;PRKACB;RAF1;SERPINE1;SLC9A1;SMAD2;SMAD3;SMAD4;SPP1;TGFBR1,14;21;22;29;37;161;453;455;529;611;638;687;688;723;744;779;780;781;795;862;870;888;897;898;937;1003;1045;1049;1050;1051;1075;1119
hsa04934,Cushing syndrome - Homo sapiens (human),31,ADCY2;ADCY5;AGT;AGTR1;AHR;AIPL1;APC;BRAF;CCND1;CCNE1;CDK6;CDKN2A;CDKN2B;CREB3L1;CTNNB1;EGFR;FZD4;GNAS;HSD3B2;LDLR;MAP2K1;MAP2K2;PBX1;POMC;PRKACA;PRKACB;RB1;TCF7;WNT1;WNT11;WNT5A,21;22;28;29;30;34;61;122;161;162;189;192;193;260;283;348;426;454;533;651;687;688;823;883;897;898;941;1105;1229;1230;1231
hsa04350,TGF-beta signaling pathway - Homo sapiens (human),31,ACVR1;BMP2;BMP4;BMP6;CDKN2B;FBN1;HAMP;HFE;HJV;ID3;IFNG;MYC;NODAL;PPP2CA;SKI;SMAD2;SMAD3;SMAD4;SMAD6;TF;TFR2;TFRC;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TGIF1;THBS1;THSD4;TNF,16;118;119;120;193;390;488;502;509;545;555;740;778;891;1019;1049;1050;1051;1052;1110;1112;1113;1116;1117;1118;1119;1120;1121;1125;1128;1141
hsa04144,Endocytosis - Homo sapiens (human),31,CBL;CBLB;CHMP2B;EGFR;EHD1;FGFR2;FGFR3;FOLR1;FOLR2;HLA-A;HLA-B;HLA-C;HLA-G;HRAS;HSPA1A;HSPA1B;IGF1R;IGF2R;IL2RA;KIF5B;LDLR;NEDD4L;PDGFRA;PSD3;SMAD2;SMAD3;TFRC;TGFBR1;TGFBR2;TRAF6;VPS35,149;150;212;348;349;407;408;415;416;510;511;512;519;529;534;535;563;566;586;634;651;761;837;909;1049;1050;1113;1119;1120;1170;1223
hsa04658,Th1 and Th2 cell differentiation - Homo sapiens (human),31,CD4;GATA3;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;IFNG;IL12A;IL12B;IL13;IL2;IL2RA;IL4;IL4R;IL5;JAG1;JAG2;JAK1;JUN;NFKB1;NFKBIA;NOTCH1;RBPJ;RELA;RUNX3;STAT1;STAT4;TBX21;TYK2,174;437;513;514;515;516;517;518;555;572;573;574;582;586;589;590;591;611;612;613;616;768;770;782;943;948;978;1079;1081;1100;1192
hsa04915,Estrogen signaling pathway - Homo sapiens (human),31,ADCY2;ADCY5;AKT1;BCL2;CREB3L1;EGFR;ESR1;ESR2;GNAS;GPER1;HRAS;HSPA1A;HSPA1B;JUN;KRAS;KRT19;MAP2K1;MAP2K2;MMP2;MMP9;NOS3;NRAS;PGR;PIK3R1;POMC;PRKACA;PRKACB;RAF1;SOS1;TFF1;TGFA,21;22;37;106;260;348;366;367;454;462;529;534;535;616;638;639;687;688;716;718;781;795;856;863;883;897;898;937;1068;1111;1115
hsa05210,Colorectal cancer - Homo sapiens (human),31,AKT1;APC;AREG;BBC3;BCL2;BRAF;CASP3;CCND1;CTNNB1;EGFR;HRAS;JUN;KRAS;MAP2K1;MAP2K2;MYC;NRAS;PIK3R1;RAF1;SMAD2;SMAD3;SMAD4;SOS1;TCF7;TGFA;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TP53,37;61;70;103;106;122;145;161;283;348;529;616;638;687;688;740;795;863;937;1049;1050;1051;1068;1105;1115;1116;1117;1118;1119;1120;1162
hsa04722,Neurotrophin signaling pathway - Homo sapiens (human),31,AKT1;BCL2;BDNF;BRAF;CRKL;FASLG;HRAS;IRAK1;IRS1;JUN;KRAS;MAP2K1;MAP2K2;MAP3K5;NFKB1;NFKBIA;NGF;NRAS;NTRK1;NTRK2;NTRK3;PIK3R1;PTPN11;RAF1;RELA;SH2B3;SORT1;SOS1;TP53;TP73;TRAF6,37;106;110;122;262;389;529;602;606;616;638;687;688;689;768;770;771;795;799;800;801;863;925;937;948;1010;1067;1068;1162;1163;1170
hsa05212,Pancreatic cancer - Homo sapiens (human),30,AKT1;BCL2L1;BRAF;BRCA2;CCND1;CDK6;CDKN2A;EGFR;ERBB2;JAK1;KRAS;MAP2K1;NFKB1;PIK3R1;RAF1;RB1;RELA;SMAD2;SMAD3;SMAD4;STAT1;STAT3;TGFA;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TP53;VEGFA,37;107;122;123;161;189;192;348;362;613;638;687;768;863;937;941;948;1049;1050;1051;1079;1080;1115;1116;1117;1118;1119;1120;1162;1217
hsa05020,Prion disease - Homo sapiens (human),30,CASP3;CCL5;CREB3L1;CYBA;CYC1;EIF2S1;HSPA1A;HSPA1B;IL1A;IL1B;IL6;KIF5B;LAMC1;NCF4;NDUFS3;NOTCH1;PIK3R1;PRKACA;PRKACB;PRNP;PSMA2;PSMA5;PSMD14;SOD1;TNF;TUBA1B;TUBA1C;UQCRB;UQCRC2;UQCRQ,145;159;260;291;292;351;534;535;578;579;592;634;646;752;759;782;863;897;898;904;910;911;912;1065;1141;1188;1189;1202;1203;1204
hsa05135,Yersinia infection - Homo sapiens (human),30,ACTG1;AKT1;CASP1;CCL2;CD4;CRKL;CXCL8;FCGR2A;FN1;IFNB1;IL10;IL18;IL1B;IL2;IL6;IRAK1;JUN;MAP2K1;MAP2K2;MAP3K7;NFKB1;NFKBIA;NLRP3;PIK3R1;RELA;TAB2;TLR4;TNF;TRAF6;VAV1,15;37;144;155;174;262;289;396;414;554;570;577;579;582;592;602;616;687;688;690;768;770;774;863;948;1089;1134;1141;1170;1212
hsa04217,Necroptosis - Homo sapiens (human),30,AIFM1;ALOX15;BCL2;BIRC2;BIRC3;CAPN2;CASP1;CHMP2B;DNM1L;FAS;FASLG;FTH1;IFNA2;IFNB1;IFNG;IL1A;IL1B;IL33;JAK1;NLRP3;PARP1;STAT1;STAT3;STAT4;TLR4;TNF;TNFAIP3;TNFRSF1A;TNFSF10;TYK2,32;45;106;114;115;138;144;212;324;388;389;422;553;554;555;578;579;587;613;774;819;1079;1080;1081;1134;1141;1142;1148;1151;1192
hsa05220,Chronic myeloid leukemia - Homo sapiens (human),30,AKT1;BCL2L1;BRAF;CBL;CCND1;CDK6;CDKN2A;CRKL;HRAS;KRAS;MAP2K1;MAP2K2;MYC;NFKB1;NFKBIA;NRAS;PIK3R1;PTPN11;RAF1;RB1;RELA;SMAD3;SMAD4;SOS1;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TP53,37;107;122;149;161;189;192;262;529;638;687;688;740;768;770;795;863;925;937;941;948;1050;1051;1068;1116;1117;1118;1119;1120;1162
hsa04148,Efferocytosis - Homo sapiens (human),30,ABCA1;AGER;ALOX15;ALOX5;ARG1;ARG2;ATP11A;CASP1;CASP3;CASP7;CD36;CPT1B;CRKL;DNMT3A;EPO;HIF1A;IL10;LIPA;MAP2K1;MAP2K2;MERTK;PBX1;PECAM1;PPARG;PTGS2;PTPN11;RAB7B;SIRT1;TGFB1;THBS1,2;27;45;46;71;72;89;144;145;146;173;255;262;326;359;508;570;658;687;688;699;823;840;887;921;925;934;1015;1116;1125
hsa04061,Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human),29,CCL11;CCL2;CCL20;CCL3;CCL4;CCL5;CCR4;CCR6;CCR7;CXCL10;CXCL11;CXCL12;CXCL14;CXCL8;CXCL9;IL10;IL10RA;IL18;IL2;IL2RA;IL6;IL6R;LTA;LTBR;TNF;TNFRSF14;TNFRSF1A;TNFSF10;TNFSF14,154;155;156;157;158;159;164;165;166;285;286;287;288;289;290;570;571;577;582;586;592;593;674;678;1141;1146;1148;1151;1153
hsa05016,Huntington disease - Homo sapiens (human),29,BBC3;BDNF;CASP3;CREB3L1;CYC1;DCTN4;DNAH5;ERN1;GPX1;GRIA4;HTT;KCNJ10;KIF5B;MAP3K5;NDUFS3;PPARG;PPARGC1A;PSMA2;PSMA5;PSMD14;SOD1;SOD2;TGM2;TP53;TUBA1B;TUBA1C;UQCRB;UQCRC2;UQCRQ,103;110;145;260;292;305;323;365;465;468;540;623;634;689;759;887;888;910;911;912;1065;1066;1122;1162;1188;1189;1202;1203;1204
hsa04150,mTOR signaling pathway - Homo sapiens (human),29,AKT1;BRAF;DDIT4;FZD4;HRAS;IGF1;IGF1R;INS;INSR;IRS1;KRAS;LRP5;MAP2K1;MAP2K2;NRAS;PIK3R1;PTEN;RAF1;SKP2;SOS1;STRADA;TBC1D7;TNF;TNFRSF1A;TSC1;TSC2;WNT1;WNT11;WNT5A,37;122;308;426;529;562;563;597;599;606;638;670;687;688;795;863;919;937;1020;1068;1084;1096;1141;1148;1180;1181;1229;1230;1231
hsa05034,Alcoholism - Homo sapiens (human),29,ADCY5;BDNF;BRAF;CREB3L1;DDC;DRD1;DRD2;GNAS;GNB3;H3-3A;H3C2;HDAC6;HDAC9;HRAS;KRAS;MAOA;MAOB;MAP2K1;NPY;NRAS;NTRK2;PRKACA;PRKACB;RAF1;SLC18A2;SLC29A1;SLC6A3;SOS1;TH,22;110;122;260;307;331;332;454;455;485;486;496;497;529;638;684;685;687;790;795;800;897;898;937;1026;1029;1043;1068;1123
hsa04211,Longevity regulating pathway - Homo sapiens (human),29,ADCY2;ADCY5;ADIPOQ;AKT1;CAT;CREB3L1;EHMT1;HRAS;IGF1;IGF1R;INS;INSR;IRS1;IRS2;KL;KRAS;NFKB1;NRAS;PIK3R1;PPARG;PPARGC1A;PRKACA;PRKACB;RELA;SIRT1;SOD2;TP53;TSC1;TSC2,21;22;24;37;147;260;350;529;562;563;597;599;606;607;635;638;768;795;863;887;888;897;898;948;1015;1066;1162;1180;1181
hsa05222,Small cell lung cancer - Homo sapiens (human),29,AKT1;BCL2;BCL2L1;BIRC2;BIRC3;CASP3;CCND1;CCNE1;CDK6;CDKN2B;COL4A1;COL4A2;FN1;LAMA2;LAMB1;LAMC1;MYC;NFKB1;NFKBIA;NOS2;PIK3R1;PTEN;PTGS2;RB1;RELA;SKP2;TP53;TRAF1;TRAF6,37;106;107;114;115;145;161;162;189;193;243;244;414;644;645;646;740;768;770;780;863;919;921;941;948;1020;1162;1168;1170
hsa04613,Neutrophil extracellular trap formation - Homo sapiens (human),29,ACTG1;AGER;AKT1;C3;CASP1;CLCN3;CLCN5;CR1;CYBA;FCGR2A;FCGR3A;FCGR3B;FGA;FGB;FPR2;H3-3A;H3C2;HDAC6;HDAC9;MAP2K1;MAP2K2;MAP3K7;MPO;NCF4;NFKB1;PIK3R1;RAF1;RELA;TLR4,15;27;37;133;144;221;222;256;291;396;398;399;402;403;419;485;486;496;497;687;688;690;722;752;768;863;937;948;1134
hsa04625,C-type lectin receptor signaling pathway - Homo sapiens (human),28,AKT1;BCL3;CASP1;CBLB;CD209;HRAS;IL10;IL12A;IL12B;IL1B;IL2;IL23A;IL6;JUN;KRAS;MRAS;NFKB1;NFKB2;NFKBIA;NLRP3;NRAS;PIK3R1;PTGS2;PTPN11;RAF1;RELA;STAT1;TNF,37;108;144;150;172;529;570;572;573;579;582;584;592;616;638;723;768;769;770;774;795;863;921;925;937;948;1079;1141
hsa04650,Natural killer cell mediated cytotoxicity - Homo sapiens (human),28,BRAF;CASP3;CSF2;FAS;FASLG;FCGR3A;FCGR3B;HLA-A;HLA-B;HLA-C;HLA-G;HRAS;ICAM1;IFNA2;IFNB1;IFNG;KRAS;MAP2K1;MAP2K2;NCR3;NRAS;PIK3R1;PTPN11;RAF1;SOS1;TNF;TNFSF10;VAV1,122;145;273;388;389;398;399;510;511;512;519;529;542;553;554;555;638;687;688;755;795;863;925;937;1068;1141;1151;1212
