DiseaseName_norm,DrugBankID,Source
medulloblastoma,DB01259,gene_target
medulloblastoma,DB08916,gene_target
medulloblastoma,DB11652,gene_target
medulloblastoma,DB11828,gene_target
medulloblastoma,DB11963,gene_target
atherosclerosis,DB00255,gene_target
atherosclerosis,DB00304,gene_target
atherosclerosis,DB00367,gene_target
atherosclerosis,DB00481,gene_target
atherosclerosis,DB00539,gene_target
atherosclerosis,DB00603,gene_target
atherosclerosis,DB00648,gene_target
atherosclerosis,DB00655,gene_target
atherosclerosis,DB00675,gene_target
atherosclerosis,DB00783,gene_target
atherosclerosis,DB00823,gene_target
atherosclerosis,DB00882,gene_target
atherosclerosis,DB00890,gene_target
atherosclerosis,DB00947,gene_target
atherosclerosis,DB00957,gene_target
atherosclerosis,DB00977,gene_target
atherosclerosis,DB01108,gene_target
atherosclerosis,DB01185,gene_target
atherosclerosis,DB01196,gene_target
atherosclerosis,DB01357,gene_target
atherosclerosis,DB01406,gene_target
atherosclerosis,DB04573,gene_target
atherosclerosis,DB04574,gene_target
atherosclerosis,DB04575,gene_target
atherosclerosis,DB04813,gene_target
atherosclerosis,DB04938,gene_target
atherosclerosis,DB06202,gene_target
atherosclerosis,DB06249,gene_target
atherosclerosis,DB06374,gene_target
atherosclerosis,DB06401,gene_target
atherosclerosis,DB09070,gene_target
atherosclerosis,DB11619,gene_target
atherosclerosis,DB12235,gene_target
atherosclerosis,DB13952,gene_target
atherosclerosis,DB13953,gene_target
atherosclerosis,DB13954,gene_target
atherosclerosis,DB13955,gene_target
atherosclerosis,DB13956,gene_target
atherosclerosis,DB13981,gene_target
idiopathicpulmonaryfibrosis,DB00255,gene_target
idiopathicpulmonaryfibrosis,DB00304,gene_target
idiopathicpulmonaryfibrosis,DB00367,gene_target
idiopathicpulmonaryfibrosis,DB00481,gene_target
idiopathicpulmonaryfibrosis,DB00539,gene_target
idiopathicpulmonaryfibrosis,DB00603,gene_target
idiopathicpulmonaryfibrosis,DB00648,gene_target
idiopathicpulmonaryfibrosis,DB00655,gene_target
idiopathicpulmonaryfibrosis,DB00675,gene_target
idiopathicpulmonaryfibrosis,DB00783,gene_target
idiopathicpulmonaryfibrosis,DB00823,gene_target
idiopathicpulmonaryfibrosis,DB00882,gene_target
idiopathicpulmonaryfibrosis,DB00890,gene_target
idiopathicpulmonaryfibrosis,DB00947,gene_target
idiopathicpulmonaryfibrosis,DB00957,gene_target
idiopathicpulmonaryfibrosis,DB00977,gene_target
idiopathicpulmonaryfibrosis,DB01108,gene_target
idiopathicpulmonaryfibrosis,DB01185,gene_target
idiopathicpulmonaryfibrosis,DB01196,gene_target
idiopathicpulmonaryfibrosis,DB01357,gene_target
idiopathicpulmonaryfibrosis,DB01406,gene_target
idiopathicpulmonaryfibrosis,DB04573,gene_target
idiopathicpulmonaryfibrosis,DB04574,gene_target
idiopathicpulmonaryfibrosis,DB04575,gene_target
idiopathicpulmonaryfibrosis,DB04813,gene_target
idiopathicpulmonaryfibrosis,DB04938,gene_target
