drug,similar_drug,similarity,drug_name,similar_name
DB01047,DB00288,0.658,Fluocinonide,Amcinonide
DB00288,DB14649,0.658,Amcinonide,Dexamethasone acetate
DB14649,DB00288,0.658,Dexamethasone acetate,Amcinonide
DB00294,DB00304,0.717,Etonogestrel,Desogestrel
DB00304,DB00294,0.717,Desogestrel,Etonogestrel
DB00294,DB00367,0.707,Etonogestrel,Levonorgestrel
DB00367,DB00294,0.707,Levonorgestrel,Etonogestrel
DB00294,DB09389,0.707,Etonogestrel,Norgestrel
DB09389,DB00294,0.707,Norgestrel,Etonogestrel
DB00295,DB00318,0.759,Morphine,Codeine
DB00318,DB00295,0.759,Codeine,Morphine
DB00295,DB09209,0.641,Morphine,Pholcodine
DB09209,DB00295,0.641,Pholcodine,Morphine
DB00296,DB00297,0.86,Ropivacaine,Bupivacaine
DB00297,DB00296,0.86,Bupivacaine,Ropivacaine
DB00296,DB00961,0.721,Ropivacaine,Mepivacaine
DB00961,DB00296,0.721,Mepivacaine,Ropivacaine
DB00296,DB01002,0.86,Ropivacaine,Levobupivacaine
DB01002,DB00296,0.86,Levobupivacaine,Ropivacaine
DB00297,DB00961,0.689,Bupivacaine,Mepivacaine
DB00961,DB00297,0.689,Mepivacaine,Bupivacaine
DB00297,DB01002,1.0,Bupivacaine,Levobupivacaine
DB01002,DB00297,1.0,Levobupivacaine,Bupivacaine
DB00306,DB00418,0.758,Talbutal,Secobarbital
DB00418,DB00306,0.758,Secobarbital,Talbutal
DB00309,DB00361,0.622,Vindesine,Vinorelbine
DB00361,DB00309,0.622,Vinorelbine,Vindesine
DB00309,DB00541,0.748,Vindesine,Vincristine
DB00541,DB00309,0.748,Vincristine,Vindesine
DB00309,DB00570,0.846,Vindesine,Vinblastine
DB00570,DB00309,0.846,Vinblastine,Vindesine
DB00309,DB11641,0.653,Vindesine,Vinflunine
DB11641,DB00309,0.653,Vinflunine,Vindesine
DB00312,DB00418,0.667,Pentobarbital,Secobarbital
DB00418,DB00312,0.667,Secobarbital,Pentobarbital
DB00312,DB00599,0.733,Pentobarbital,Thiopental
DB00599,DB00312,0.733,Thiopental,Pentobarbital
DB00318,DB01452,0.625,Codeine,Diamorphine
DB01452,DB00318,0.625,Diamorphine,Codeine
DB00318,DB01551,0.661,Codeine,Dihydrocodeine
DB01551,DB00318,0.661,Dihydrocodeine,Codeine
DB00318,DB09209,0.714,Codeine,Pholcodine
DB09209,DB00318,0.714,Pholcodine,Codeine
DB00320,DB00696,0.694,Dihydroergotamine,Ergotamine
DB00696,DB00320,0.694,Ergotamine,Dihydroergotamine
DB00320,DB11273,0.677,Dihydroergotamine,Dihydroergocornine
DB11273,DB00320,0.677,Dihydroergocornine,Dihydroergotamine
DB00320,DB11274,0.726,Dihydroergotamine,Dihydro-alpha-ergocryptine
DB11274,DB00320,0.726,Dihydro-alpha-ergocryptine,Dihydroergotamine
DB00320,DB11275,0.667,Dihydroergotamine,Epicriptine
DB11275,DB00320,0.667,Epicriptine,Dihydroergotamine
DB00320,DB13345,0.856,Dihydroergotamine,Dihydroergocristine
DB13345,DB00320,0.856,Dihydroergocristine,Dihydroergotamine
DB00321,DB00540,0.611,Amitriptyline,Nortriptyline
DB00540,DB00321,0.611,Nortriptyline,Amitriptyline
DB00321,DB00924,0.629,Amitriptyline,Cyclobenzaprine
DB00924,DB00321,0.629,Cyclobenzaprine,Amitriptyline
DB00321,DB01142,0.684,Amitriptyline,Doxepin
DB01142,DB00321,0.684,Doxepin,Amitriptyline
DB00321,DB09167,0.667,Amitriptyline,Dosulepin
DB09167,DB00321,0.667,Dosulepin,Amitriptyline
DB00322,DB00432,0.723,Floxuridine,Trifluridine
DB00432,DB00322,0.723,Trifluridine,Floxuridine
DB00322,DB03312,0.66,Floxuridine,Brivudine
DB03312,DB00322,0.66,Brivudine,Floxuridine
DB00322,DB13421,0.717,Floxuridine,Edoxudine
DB13421,DB00322,0.717,Edoxudine,Floxuridine
DB00327,DB00956,0.75,Hydromorphone,Hydrocodone
DB00956,DB00327,0.75,Hydrocodone,Hydromorphone
DB00328,DB13783,0.811,Indomethacin,Acemetacin
DB13783,DB00328,0.811,Acemetacin,Indomethacin
DB00332,DB00424,0.633,Ipratropium,Hyoscyamine
DB00424,DB00332,0.633,Hyoscyamine,Ipratropium
DB00332,DB00462,0.635,Ipratropium,Methscopolamine bromide
DB00462,DB00332,0.635,Methscopolamine bromide,Ipratropium
DB00332,DB00572,0.633,Ipratropium,Atropine
DB00572,DB00332,0.633,Atropine,Ipratropium
DB00332,DB11315,0.647,Ipratropium,Methscopolamine
DB11315,DB00332,0.647,Methscopolamine,Ipratropium
DB00335,DB01297,0.622,Atenolol,Practolol
DB01297,DB00335,0.622,Practolol,Atenolol
DB00337,DB00864,0.794,Pimecrolimus,Tacrolimus
DB00864,DB00337,0.794,Tacrolimus,Pimecrolimus
DB00338,DB00736,0.846,Omeprazole,Esomeprazole
DB00736,DB00338,0.846,Esomeprazole,Omeprazole
DB00341,DB00557,0.745,Cetirizine,Hydroxyzine
DB00557,DB00341,0.745,Hydroxyzine,Cetirizine
DB00341,DB06282,1.0,Cetirizine,Levocetirizine
DB06282,DB00341,1.0,Levocetirizine,Cetirizine
DB00342,DB00950,0.804,Terfenadine,Fexofenadine
DB00950,DB00342,0.804,Fexofenadine,Terfenadine
DB00351,DB09124,0.717,Megestrol acetate,Medrogestone
DB09124,DB00351,0.717,Medrogestone,Megestrol acetate
DB00351,DB13981,0.65,Megestrol acetate,Nomegestrol acetate
DB13981,DB00351,0.65,Nomegestrol acetate,Megestrol acetate
DB00351,DB19378,0.704,Megestrol acetate,Megestrol
DB19378,DB00351,0.704,Megestrol,Megestrol acetate
DB00353,DB01253,0.806,Methylergometrine,Ergometrine
DB01253,DB00353,0.806,Ergometrine,Methylergometrine
DB00354,DB00737,0.653,Buclizine,Meclizine
DB00737,DB00354,0.653,Meclizine,Buclizine
DB00357,DB01437,0.722,Aminoglutethimide,Glutethimide
DB01437,DB00357,0.722,Glutethimide,Aminoglutethimide
DB00361,DB00541,0.653,Vinorelbine,Vincristine
DB00541,DB00361,0.653,Vincristine,Vinorelbine
DB00361,DB00570,0.739,Vinorelbine,Vinblastine
DB00570,DB00361,0.739,Vinblastine,Vinorelbine
